@relation kddtrain2017_30
@attribute Feature62 real
@attribute Feature67 real
@attribute Feature28 real
@attribute Feature23 real
@attribute Feature81 real
@attribute Feature74 real
@attribute Feature51 real
@attribute Feature22 real
@attribute Feature44 real
@attribute Feature19 real
@attribute Feature53 real
@attribute Feature84 real
@attribute Feature50 real
@attribute Feature25 real
@attribute Feature79 real
@attribute Feature82 real
@attribute Feature99 real
@attribute Feature72 real
@attribute Feature8 real
@attribute Feature9 real
@attribute Feature60 real
@attribute Feature5 real
@attribute Feature1 real
@attribute Feature65 real
@attribute Feature11 real
@attribute Feature20 real
@attribute Feature87 real
@attribute Feature26 real
@attribute Feature97 real
@attribute Feature95 real
@attribute class {0,1,2}
@data
0.59759,0.66894,0.85001,0.00099,0.08881,0.81422,0.7437,0.23053,0.88549,0.38974,0.40312,0.76185,0.8141,0.86744,0.51813,0.36312,0.58408,0.43463,0.04437,0.00016,0.46024,0.6592,0.32759,0.65594,0.37281,0.50975,0.00048,0.45126,0.75268,0.88527,?
0.15908,0.06255,0.29633,0.88551,0.70823,0.59377,0.19536,0.77029,0.00001,0.38936,0.63315,0.61103,0.36795,0.575,0.33272,0.77953,0.26163,0.43481,0.79678,0.88577,0.30574,0.48789,0.68145,0.47885,0.83218,0.628,0.88586,0.12443,0.5228,0.54082,?
0.04473,0.10607,0.23524,0.6994,0.39886,0.34508,0.00007,0.64251,0.12429,0.66868,0.50082,0.00061,0.23517,0.69013,0.50914,0.7883,0.71711,0.11548,0.63381,0.53169,0.60685,0.29281,0.49102,0.45196,0.88595,0.61956,0.86721,0.08895,0.88521,0.46951,?
0.52236,0.40318,0.69503,0.11101,0.17794,0.74326,0.88591,0.3768,0.64695,0.29675,0.55863,0.72627,0.88589,0.76132,0.38107,0.25721,0.46526,0.54039,0.19947,0.00055,0.29676,0.71257,0.42587,0.85065,0.57504,0.5539,0.22136,0.15952,0.59323,0.88537,?
0.44265,0.29613,0.50956,0.49689,0.49634,0.425,0.88536,0.60293,0.59347,0.17763,0.78352,0.14269,0.5848,0.70891,0.39443,0.00057,0.33212,0.85872,0.6905,0.10663,0.19501,0.57143,0.43432,0.76199,0.70886,0.38102,0.88563,0.0002,0.31068,0.2835,?
0.55333,0.37239,0.32529,0.56644,0.38108,0.65075,0.363,0.62408,0.00027,0.1501,0.79244,0.41649,0.57582,0.88537,0.60273,0.30178,0.30574,0.71796,0.63382,0.24886,0.46516,0.75225,0.34506,0.44205,0.86718,0.37269,0.88544,0.7434,0.61198,0.78885,?
0.85029,0.86747,0.66225,0.04071,0.13376,0.4736,0.81495,0.08837,0.85037,0.38914,0.29634,0.06279,0.59339,0.88531,0.44229,0.32721,0.47341,0.54954,0.10615,0.00068,0.24876,0.46075,0.1731,0.34505,0.0443,0.33681,0.08077,0.88576,0.49672,0.37288,?
0.43416,0.28873,0.57397,0.44236,0.3365,0.57107,0.86752,0.5318,0.57523,0.18662,0.7214,0.25711,0.59331,0.88544,0.5223,0.11527,0.38565,0.71737,0.61125,0.00025,0.33698,0.51805,0.34598,0.69027,0.72693,0.403,0.88598,0.00092,0.51391,0.31921,?
0.6029,0.74376,0.71705,0.23022,0.00006,0.73543,0.41676,0.33268,0.69935,0.28335,0.40776,0.58478,0.65067,0.88559,0.57582,0.49667,0.42059,0.15017,0.13781,0.18602,0.51859,0.5182,0.09303,0.00085,0.66469,0.248,0.27459,0.78858,0.77003,0.88522,?
0.54975,0.5932,0.35631,0.45632,0.04465,0.39467,0.23093,0.16853,0.31992,0.80573,0.14615,0.00034,0.16813,0.78866,0.73952,0.726,0.8857,0.00056,0.27927,0.39858,0.78881,0.05364,0.49159,0.58495,0.29275,0.65513,0.51336,0.86785,0.88554,0.10697,?
0.42904,0.32795,0.10097,0.85089,0.65553,0.19914,0.2044,0.7359,0.0002,0.7522,0.61914,0.00082,0.52217,0.39823,0.40313,0.82399,0.64275,0.4257,0.73509,0.88521,0.50467,0.63307,0.88531,0.88588,0.8149,0.85483,0.81417,0.65572,0.60281,0.84145,?
0.83658,0.88576,0.69299,0.02731,0.00002,0.50095,0.78805,0.00495,0.88572,0.49622,0.21248,0.25786,0.50933,0.74313,0.37634,0.42515,0.60614,0.41614,0.00009,0.05363,0.32764,0.32334,0.31432,0.57562,0.00988,0.50082,0.00028,0.88563,0.6469,0.23089,?
0.00037,0.0407,0.38912,0.84533,0.51394,0.69989,0.00013,0.69969,0.08016,0.5401,0.52235,0.58443,0.23556,0.814,0.53525,0.63764,0.6649,0.15988,0.68697,0.83272,0.57136,0.31498,0.71282,0.59393,0.88545,0.61537,0.85803,0.00028,0.88592,0.46925,?
0.64667,0.66888,0.43123,0.43471,0.00084,0.41232,0.40703,0.13332,0.45121,0.73979,0.23081,0.00093,0.40343,0.82359,0.64649,0.743,0.81,0.19555,0.24386,0.38174,0.67708,0.29606,0.491,0.60204,0.26552,0.67331,0.48774,0.88575,0.88579,0.3989,?
0.44776,0.44265,0.22895,0.34546,0.09793,0.45655,0.00994,0.04994,0.00053,0.70814,0.01359,0.23909,0.22677,0.67396,0.61128,0.67336,0.8143,0.02766,0.21297,0.3638,0.71727,0.23504,0.47371,0.58475,0.00048,0.62834,0.3272,0.88547,0.88585,0.44245,?
0.50476,0.44202,0.25275,0.31917,0.08885,0.50483,0.12443,0.04417,0.00026,0.65036,0.05316,0.26531,0.26521,0.74365,0.68123,0.6115,0.78829,0.10699,0.19504,0.3361,0.7528,0.25738,0.44741,0.55885,0.00051,0.58436,0.30141,0.88521,0.88527,0.40771,?
0.00085,0.03594,0.26537,0.59713,0.38184,0.46016,0.00052,0.6332,0.0715,0.76108,0.52773,0.22189,0.23976,0.69994,0.60635,0.74316,0.83267,0.16855,0.54007,0.49673,0.69925,0.32396,0.49673,0.49627,0.88574,0.61966,0.69978,0.00077,0.88526,0.47815,?
0.03174,0.00076,0.26517,0.65088,0.46936,0.5313,0.06299,0.67791,0.00067,0.8367,0.57112,0.381,0.28329,0.6816,0.57578,0.83214,0.86356,0.25718,0.58801,0.59333,0.67764,0.38163,0.59778,0.60279,0.88544,0.71772,0.70834,0.00066,0.88569,0.5049,?
0.00036,0.0222,0.31909,0.65553,0.31012,0.5938,0.00098,0.597,0.04446,0.76525,0.46011,0.33632,0.21297,0.85015,0.77053,0.72655,0.84588,0.03504,0.54462,0.53173,0.78879,0.23059,0.49108,0.45123,0.88574,0.58893,0.77945,0.0007,0.88531,0.42599,?
0.00099,0.01386,0.34727,0.52283,0.35469,0.66838,0.00088,0.4294,0.0277,0.79608,0.32716,0.46993,0.15508,0.86785,0.82398,0.70837,0.885,0.15066,0.43473,0.531,0.8324,0.23037,0.61166,0.69045,0.50421,0.69937,0.51301,0.00095,0.88535,0.31085,?
0.88105,0.88539,0.68672,0.03122,0.13346,0.48717,0.87602,0.08076,0.88558,0.38552,0.31457,0.18698,0.61105,0.78832,0.39467,0.3271,0.52252,0.60251,0.0979,0.00041,0.30102,0.47396,0.21704,0.43499,0.02759,0.3816,0.06245,0.8853,0.60261,0.34568,?
0.47377,0.44255,0.20161,0.30169,0.31996,0.40393,0.06219,0.27055,0.0004,0.65574,0.16869,0.00047,0.31058,0.80513,0.55388,0.73509,0.73091,0.11597,0.21297,0.4962,0.59333,0.33609,0.43881,0.38172,0.22172,0.55818,0.10676,0.88542,0.885,0.55893,?
0.47838,0.55845,0.70446,0.36308,0.05346,0.52292,0.72618,0.46979,0.88531,0.14697,0.64288,0.26525,0.69008,0.77951,0.42031,0.2925,0.3414,0.39882,0.38948,0.0008,0.37267,0.5271,0.13323,0.2652,0.88564,0.2792,0.72627,0.23025,0.68178,0.65593,?
0.00051,0.08457,0.36358,0.64632,0.27404,0.55847,0.0008,0.50486,0.16828,0.84163,0.37634,0.39879,0.15548,0.71777,0.59701,0.79698,0.88593,0.01888,0.52279,0.5227,0.68167,0.16456,0.63719,0.7523,0.73502,0.77436,0.77059,0.00053,0.88501,0.31078,?
0.46078,0.44212,0.20161,0.19073,0.18667,0.40362,0.03548,0.17316,0.00014,0.56242,0.10612,0.07123,0.27932,0.73516,0.50969,0.64679,0.68122,0.05319,0.09351,0.38143,0.58435,0.28817,0.33279,0.28387,0.15993,0.46586,0.00045,0.88546,0.88587,0.52256,?
0.21711,0.21207,0.56978,0.31412,0.0008,0.73053,0.41695,0.44202,0.40754,0.21285,0.54957,0.57575,0.46577,0.88517,0.54934,0.42568,0.37253,0.21276,0.27011,0.08875,0.4787,0.36361,0.0841,0.08051,0.88551,0.25287,0.5401,0.01803,0.74376,0.51375,?
0.88527,0.84565,0.60415,0.03564,0.30191,0.40368,0.88561,0.20477,0.80585,0.34525,0.40369,0.00085,0.65916,0.80529,0.44795,0.26508,0.4654,0.69936,0.18667,0.00057,0.29675,0.56611,0.08837,0.17723,0.10642,0.22154,0.07153,0.88586,0.50415,0.43489,?
0.19054,0.08061,0.10085,0.796,0.66452,0.19914,0.22101,0.58483,0.00033,0.64669,0.4732,0.00093,0.27069,0.39848,0.31413,0.74366,0.5663,0.44205,0.68698,0.88507,0.40798,0.38186,0.8851,0.88578,0.50407,0.81432,0.70812,0.15939,0.58427,0.31919,?
0.07518,0,0.27403,0.50971,0.46955,0.54915,0.1501,0.66403,0.00081,0.77941,0.62893,0.31976,0.34121,0.7792,0.8327,0.82374,0.81011,0.39858,0.40725,0.67309,0.88536,0.46514,0.4474,0.22101,0.8583,0.52225,0.34576,0.0008,0.88519,0.53143,?
0.13706,0.06641,0.47165,0.31073,0.00017,0.81012,0.27409,0.44227,0.13368,0.26176,0.53528,0.73536,0.38179,0.8854,0.59745,0.44232,0.39417,0.18677,0.23536,0.15072,0.50917,0.33688,0.09367,0.03546,0.8857,0.23985,0.46998,0.00035,0.70801,0.48779,?
0.5669,0.39815,0.37692,0.3415,0.25791,0.75236,0.33688,0.57199,0.00017,0.22123,0.62466,0.61947,0.59324,0.88586,0.64697,0.33699,0.36386,0.3637,0.3583,0.22136,0.51347,0.60611,0.11194,0.00053,0.8852,0.16851,0.46089,0.79665,0.61912,0.85002,?
0.50454,0.46008,0.26863,0.08432,0.00034,0.50002,0.1241,0.10269,0.03593,0.4876,0.18624,0.31909,0.33661,0.68152,0.5842,0.50448,0.67788,0.16846,0.00071,0.1686,0.68672,0.35876,0.23562,0.30177,0.204,0.40376,0.00063,0.88534,0.88507,0.54913,?
0.46554,0.51313,0.29968,0.37265,0.23035,0.45696,0.04414,0.11598,0.14282,0.7744,0.00094,0.24889,0.23993,0.664,0.58455,0.72668,0.85449,0.00074,0.26163,0.45142,0.6952,0.21725,0.54069,0.62831,0.00045,0.67793,0.29251,0.88591,0.88546,0.43446,?
0.85868,0.88523,0.65356,0.01802,0.21285,0.42008,0.83207,0.10682,0.88562,0.38558,0.27995,0.10687,0.58011,0.73531,0.40338,0.27455,0.48795,0.55826,0.1244,0.00095,0.27478,0.44209,0.09791,0.19575,0.0001,0.23562,0.03548,0.88554,0.47827,0.32713,?
0.26126,0.15097,0.08421,0.7885,0.66473,0.16804,0.22174,0.59375,0.00039,0.64647,0.48292,0.00047,0.30506,0.336,0.32739,0.69036,0.54085,0.44201,0.67704,0.88572,0.39881,0.41672,0.88595,0.88596,0.52264,0.78843,0.69041,0.30177,0.47817,0.38992,?
0.23969,0.12817,0.15378,0.77945,0.66453,0.30597,0.22139,0.57501,0.00077,0.83646,0.46542,0.00093,0.28379,0.61133,0.42032,0.85892,0.74854,0.44229,0.66835,0.88543,0.45603,0.39468,0.88505,0.88552,0.48742,0.87294,0.67351,0.25717,0.68128,0.34541,?
0.00922,0.00019,0.30839,0.52235,0.55874,0.61537,0.01838,0.53194,0.00074,0.88582,0.40397,0.42596,0.20483,0.80517,0.80598,0.88537,0.88105,0.30134,0.38909,0.82318,0.84167,0.34513,0.65525,0.48752,0.50447,0.68624,0.2214,0.00064,0.87675,0.38987,?
0.2831,0.13728,0.30195,0.67703,0.77935,0.60263,0.29286,0.71793,0.00059,0.34531,0.6246,0.31935,0.37698,0.88541,0.44285,0.40762,0.45113,0.59361,0.83226,0.46962,0.31023,0.52794,0.64681,0.82301,0.65578,0.61539,0.88551,0.27427,0.61981,0.46004,?
0.44262,0.43896,0.73984,0.0625,0.23024,0.60293,0.88541,0.40757,0.87674,0.52714,0.56619,0.52238,0.88511,0.68173,0.407,0.27463,0.66815,0.54905,0.17759,0.00039,0.34533,0.71752,0.2083,0.41698,0.58423,0.34526,0.12425,0.00059,0.55813,0.88583,?
0.52792,0.4253,0.29419,0.62446,0.42523,0.58822,0.20463,0.64616,0.00001,0.27466,0.63701,0.29222,0.50434,0.8854,0.51316,0.54945,0.37276,0.40798,0.65503,0.36329,0.44237,0.60626,0.28897,0.21293,0.86747,0.3811,0.88598,0.85048,0.74305,0.8054,?
0.56268,0.34168,0.29622,0.44202,0.5491,0.59367,0.44263,0.64663,0.00006,0.76146,0.708,0.46005,0.60217,0.72605,0.37605,0.63744,0.66447,0.67373,0.27448,0.88501,0.23567,0.71783,0.72621,0.56646,0.74302,0.60272,0.00016,0.6817,0.44207,0.76107,?
0.00057,0.02707,0.41802,0.50958,0.38963,0.78309,0.00033,0.6373,0.05306,0.37256,0.51351,0.71769,0.19575,0.85016,0.59763,0.62843,0.50008,0.14222,0.53193,0.34566,0.61511,0.26593,0.23008,0.11504,0.88521,0.37218,0.67361,0.00057,0.88507,0.38921,?
0.44285,0.44784,0.20641,0.43801,0.23018,0.4038,0.00009,0.16878,0.00974,0.67399,0.07524,0.00081,0.18613,0.80509,0.59728,0.69042,0.77054,0.04463,0.32757,0.45106,0.63704,0.20824,0.54085,0.62866,0.10623,0.6599,0.4256,0.8855,0.88512,0.37237,?
0.61165,0.6111,0.38936,0.45635,0.00015,0.44277,0.33603,0.22667,0.33644,0.69073,0.29655,0.00005,0.37645,0.88507,0.65942,0.64654,0.80547,0.14236,0.2967,0.31935,0.65578,0.27902,0.50928,0.69962,0.45195,0.67302,0.59304,0.8854,0.87691,0.41629,?
0.37611,0.27446,0.16249,0.77922,0.60254,0.32338,0.20451,0.62426,0.00006,0.84131,0.52296,0.00033,0.39472,0.64627,0.52288,0.88563,0.77931,0.39852,0.68113,0.79683,0.58026,0.49177,0.84103,0.88586,0.6464,0.88507,0.76152,0.54917,0.76141,0.58473,?
0.46012,0.44273,0.17031,0.30521,0.23065,0.34165,0.03563,0.22199,0.00037,0.60272,0.15574,0.00026,0.2929,0.68159,0.45686,0.77081,0.65905,0.09769,0.18106,0.4787,0.55861,0.32397,0.41208,0.3453,0.21289,0.55816,0.13317,0.88591,0.88582,0.54955,?
0.4426,0.47336,0.25946,0.42035,0.28376,0.45643,0.00001,0.14255,0.06248,0.72193,0.01302,0.30111,0.208,0.61147,0.40764,0.86703,0.73032,0.02705,0.28355,0.55825,0.54467,0.22144,0.53518,0.51386,0.00039,0.69031,0.28337,0.88514,0.88579,0.4163,?
0.53588,0.50959,0.69096,0.23571,0.3454,0.54976,0.88525,0.61595,0.83255,0.22643,0.74833,0.40796,0.84183,0.69087,0.60646,0.00015,0.41218,0.61102,0.38151,0.05339,0.44743,0.7046,0.02743,0.00053,0.88565,0.00012,0.41677,0.18688,0.37285,0.79632,?
0.29294,0.31977,0.63947,0.27041,0.00991,0.68691,0.54057,0.44718,0.5936,0.17343,0.58001,0.48795,0.56689,0.8856,0.51358,0.34594,0.35051,0.27456,0.27496,0.00087,0.42081,0.43492,0.0225,0.04411,0.88587,0.19565,0.54096,0.04457,0.69919,0.59317,?
0.5137,0.38975,0.29055,0.20822,0.19575,0.58015,0.24879,0.38159,0.00096,0.45609,0.42959,0.36377,0.56616,0.79609,0.67354,0.65567,0.57146,0.29223,0.09771,0.41679,0.71714,0.58841,0.21735,0.01887,0.56632,0.33639,0.00051,0.77997,0.8852,0.88525,?
0.4422,0.23526,0.35061,0.67329,0.6199,0.69958,0.41699,0.55377,0.00052,0.22101,0.65924,0.51339,0.43861,0.88566,0.54943,0.44228,0.39462,0.83299,0.73923,0.4877,0.50013,0.64645,0.68614,0.88536,0.48784,0.66405,0.85807,0.46992,0.78847,0.46072,?
0.38521,0.52296,0.81287,0.30164,0.00042,0.77474,0.57572,0.0092,0.85095,0.49631,0.13783,0.66472,0.46941,0.88569,0.44265,0.51363,0.62842,0.2579,0.19552,0.21285,0.38911,0.31051,0.54973,0.88592,0.01878,0.69957,0.38986,0.19547,0.77952,0.36397,?
0.01809,0.00027,0.25299,0.65913,0.45101,0.50491,0.03576,0.66862,0.00012,0.74808,0.55889,0.26575,0.28806,0.7439,0.53134,0.79636,0.79255,0.23016,0.60648,0.5589,0.60255,0.38515,0.52714,0.49673,0.88599,0.64661,0.76107,0.00085,0.8851,0.54003,?
0.58097,0.52208,0.79408,0.02239,0.00076,0.81916,0.8859,0.16482,0.77086,0.30576,0.38976,0.77994,0.85803,0.85826,0.55374,0.38101,0.51822,0.4517,0.00083,0.04472,0.52754,0.64267,0.46591,0.88548,0.32796,0.63312,0.00099,0.27467,0.80522,0.83244,?
0.44243,0.38508,0.64427,0.05361,0.3548,0.51816,0.88588,0.59706,0.77004,0.4659,0.73566,0.28391,0.88516,0.75272,0.67305,0.08856,0.66481,0.62819,0.2309,0.0009,0.54091,0.75795,0.01862,0.03536,0.84152,0.06296,0.106,0.00029,0.48739,0.88515,?
0.54093,0.44264,0.14479,0.68197,0.60287,0.28862,0.19571,0.57544,0.00067,0.68612,0.46987,0.00005,0.44286,0.5754,0.39897,0.88502,0.59394,0.3899,0.57514,0.81456,0.46037,0.54052,0.68175,0.54945,0.54968,0.71776,0.5497,0.88555,0.69931,0.69001,?
0.44231,0.44721,0.27935,0.39804,0.32756,0.54904,0.00034,0.16489,0.0096,0.80572,0.06291,0.37297,0.17345,0.72681,0.71714,0.72699,0.8857,0.12455,0.30546,0.51386,0.79675,0.23592,0.56654,0.61947,0.00092,0.67373,0.28377,0.8853,0.88567,0.3451,?
0.45622,0.44213,0.25448,0.14667,0.05335,0.50906,0.02765,0.02783,0.00017,0.55858,0.05849,0.21237,0.23579,0.80589,0.69944,0.5751,0.7129,0.11555,0.02702,0.29292,0.73936,0.27904,0.30575,0.31984,0.00065,0.44723,0.00039,0.88503,0.88548,0.4422,?
0.00072,0.10267,0.35424,0.54064,0.46096,0.50466,0.00065,0.67396,0.20436,0.76555,0.5496,0.1243,0.22676,0.88519,0.77477,0.87616,0.75775,0.21265,0.41654,0.70805,0.76171,0.33295,0.44702,0.18678,0.88501,0.53199,0.37291,0.00093,0.85876,0.4511,?
0.57542,0.64258,0.59744,0.38932,0.16849,0.31078,0.75203,0.52751,0.8855,0.07129,0.67764,0.1337,0.73073,0.48787,0.24343,0.00965,0.22181,0.46934,0.47314,0.00045,0.15506,0.58805,0.23919,0.47812,0.88518,0.24301,0.77951,0.39841,0.31065,0.708,?
0.88103,0.88166,0.77477,0.0009,0.15903,0.67391,0.87693,0.15098,0.87602,0.43868,0.36323,0.46065,0.64632,0.8854,0.566,0.31908,0.6115,0.58438,0.08014,0.00055,0.45622,0.50088,0.18143,0.3634,0.14221,0.34162,0.00062,0.88538,0.66406,0.41631,?
0.55858,0.41635,0.23708,0.38196,0.52293,0.4733,0.28355,0.5886,0.00048,0.74847,0.58058,0.54902,0.58448,0.39803,0.61954,0.88575,0.63769,0.50499,0.26103,0.76189,0.7524,0.69574,0.39807,0.03532,0.65505,0.46032,0.00002,0.8327,0.66439,0.88562,?
0.11974,0.10206,0.44095,0.22697,0.15049,0.69576,0.22181,0.19915,0.18654,0.60608,0.12472,0.7616,0.30112,0.62888,0.75737,0.69992,0.69952,0.00059,0.07548,0.45198,0.88564,0.19073,0.33208,0.21269,0.24819,0.45658,0.00009,0.01834,0.88599,0.38146,?
0.23925,0.21757,0.51563,0.17702,0.05393,0.84508,0.23094,0.36309,0.18657,0.53149,0.33666,0.88574,0.52724,0.80574,0.82701,0.6196,0.66405,0.00055,0.02736,0.35467,0.86739,0.41221,0.2174,0.08046,0.67367,0.35055,0.00019,0.24848,0.88574,0.82331,?
0.44243,0.3859,0.65784,0.4425,0.33624,0.5443,0.88519,0.55366,0.77036,0.18643,0.74381,0.3458,0.63794,0.74378,0.44705,0.09778,0.38599,0.7174,0.61145,0.00057,0.3233,0.55302,0.32783,0.65551,0.77008,0.37641,0.88517,0.00023,0.49687,0.3893,?
0.50069,0.5049,0.27786,0.47882,0.13362,0.29644,0.24825,0.16431,0.25745,0.8854,0.09759,0.00052,0.25277,0.59343,0.50098,0.88589,0.84503,0.00018,0.29648,0.49646,0.60661,0.1283,0.61589,0.7356,0.19564,0.81057,0.46086,0.75278,0.80538,0.25786,?
0.46974,0.44721,0.61518,0.44299,0.31071,0.38967,0.88575,0.54092,0.84168,0.19924,0.71766,0.00026,0.66411,0.77937,0.43446,0.10642,0.35809,0.66436,0.59793,0.00009,0.25776,0.55309,0.33248,0.66488,0.77025,0.38546,0.88572,0.05366,0.42568,0.44291,?
0.53194,0.4429,0.13925,0.63751,0.53174,0.279,0.17789,0.5449,0.00039,0.86383,0.45696,0.00062,0.41601,0.55846,0.46575,0.88563,0.77984,0.35442,0.54451,0.71779,0.5447,0.50462,0.70881,0.69965,0.55824,0.79291,0.55888,0.88519,0.71711,0.65587,?
0.15518,0.11903,0.56045,0.32753,0.00041,0.88171,0.31026,0.44299,0.23916,0.34543,0.50419,0.8761,0.42564,0.88549,0.68163,0.46025,0.45688,0.12472,0.22637,0.20415,0.58091,0.33235,0.17799,0.15006,0.88552,0.30514,0.45169,0.0005,0.68127,0.54006,?
0.03582,0.00019,0.32393,0.50459,0.46074,0.64649,0.0712,0.59379,0.00031,0.6424,0.51304,0.4782,0.25254,0.81482,0.85064,0.78893,0.6904,0.3019,0.44221,0.58468,0.88531,0.36704,0.37232,0.15986,0.7266,0.47376,0.42559,0.00084,0.88517,0.43454,?
0.02249,0.00056,0.26806,0.6953,0.72637,0.53589,0.04449,0.80592,0.00078,0.48722,0.64682,0.54023,0.38548,0.53158,0.65569,0.88506,0.47348,0.40767,0.76537,0.58483,0.81918,0.56696,0.36315,0.14219,0.8852,0.5131,0.80521,0.00022,0.85856,0.72697,?
0.42011,0.22685,0.42913,0.48253,0.51366,0.40703,0.84137,0.56669,0.45155,0.18182,0.75205,0.04484,0.54983,0.77017,0.40732,0.00019,0.31401,0.88571,0.69993,0.08062,0.15592,0.57135,0.40755,0.73522,0.61991,0.36727,0.88559,0.00094,0.26509,0.25706,?
0.44725,0.37272,0.57769,0.43494,0.3365,0.42061,0.88506,0.61179,0.73524,0.04453,0.80186,0.0714,0.67791,0.77022,0.38555,0.00048,0.23518,0.71778,0.58865,0.02703,0.19082,0.59348,0.28309,0.54,0.885,0.27053,0.84193,0.00968,0.38124,0.46959,?
0.00059,0.02259,0.2547,0.51368,0.40746,0.46551,0.0004,0.64649,0.04488,0.76564,0.54484,0.08076,0.30178,0.85036,0.74354,0.68158,0.86718,0.20469,0.45652,0.52241,0.76114,0.40336,0.44231,0.36382,0.88587,0.52283,0.50409,0.00051,0.88577,0.60242,?
0.00029,0.03137,0.23215,0.65559,0.33653,0.40364,0.00022,0.61114,0.06205,0.68162,0.49177,0.03526,0.20467,0.77066,0.6199,0.69004,0.77925,0.09737,0.59737,0.45143,0.67749,0.25204,0.43405,0.41697,0.88517,0.55332,0.85899,0.00092,0.8854,0.40712,?
