@relation kddtrain2017_20
@attribute Feature62 real
@attribute Feature67 real
@attribute Feature28 real
@attribute Feature23 real
@attribute Feature81 real
@attribute Feature74 real
@attribute Feature51 real
@attribute Feature22 real
@attribute Feature44 real
@attribute Feature19 real
@attribute Feature53 real
@attribute Feature84 real
@attribute Feature50 real
@attribute Feature25 real
@attribute Feature79 real
@attribute Feature82 real
@attribute Feature99 real
@attribute Feature72 real
@attribute Feature8 real
@attribute Feature9 real
@attribute class {0,1,2}
@data
0.46910,0.44234,0.18153,0.46015,0.32718,0.36390,0.05344,0.24389,0.00046,0.75739,0.14675,0.00063,0.28339,0.72600,0.51861,0.85892,0.77006,0.13395,0.34171,0.56603,0
0.47323,0.28828,0.58465,0.44289,0.29203,0.66417,0.87605,0.58074,0.50420,0.09791,0.79622,0.44232,0.61966,0.88563,0.46549,0.19564,0.32325,0.72650,0.58802,0.00056,0
0.19576,0.08463,0.52766,0.29613,0.00058,0.88520,0.38993,0.44277,0.16895,0.25732,0.57567,0.88563,0.43837,0.88597,0.63767,0.41676,0.40327,0.26521,0.24863,0.09731,2
0.06619,0.00029,0.44228,0.37629,0.39880,0.88536,0.13312,0.25290,0.00068,0.58052,0.18617,0.88518,0.06652,0.88504,0.71758,0.66456,0.64674,0.26596,0.31019,0.53140,0
0.17345,0.15521,0.59135,0.32706,0.00036,0.87261,0.34550,0.44277,0.31075,0.38175,0.52737,0.85896,0.42936,0.88549,0.73082,0.46939,0.50935,0.16854,0.23923,0.17730,2
0.35845,0.18161,0.44795,0.50902,0.49626,0.53143,0.71728,0.64602,0.36302,0.05332,0.84165,0.51346,0.50942,0.54944,0.31010,0.00050,0.25702,0.88536,0.69050,0.13342,0
0.46584,0.44248,0.18125,0.39405,0.23997,0.36338,0.04441,0.15937,0.00044,0.71783,0.06274,0.00081,0.27034,0.72666,0.52775,0.77039,0.77461,0.04426,0.27031,0.48789,0
0.53564,0.50073,0.59708,0.04963,0.32779,0.38128,0.88533,0.45154,0.81409,0.33638,0.59356,0.02772,0.88529,0.73544,0.57587,0.22160,0.52287,0.61172,0.21251,0.00003,2
0.45634,0.35434,0.57587,0.44212,0.26550,0.46962,0.88503,0.53101,0.68117,0.11166,0.73540,0.14254,0.64265,0.79671,0.39813,0.10635,0.31008,0.67304,0.57511,0.00048,0
0.04987,0.02284,0.43889,0.53586,0.58430,0.87685,0.05360,0.64647,0.00080,0.54030,0.54057,0.88591,0.27434,0.86754,0.76578,0.88534,0.52213,0.37297,0.46094,0.73538,1
0.37617,0.54000,0.55874,0.30532,0.00048,0.33628,0.45118,0.36397,0.77988,0.80523,0.42927,0.00076,0.35041,0.67301,0.55354,0.72673,0.88578,0.13334,0.12430,0.36395,2
0.00416,0.00043,0.23769,0.67389,0.38936,0.47369,0.00930,0.61940,0.00055,0.63751,0.50437,0.17770,0.23093,0.77031,0.65093,0.66479,0.74826,0.15938,0.63772,0.46089,1
0.00003,0.00492,0.41668,0.71702,0.61960,0.82312,0.00083,0.61523,0.00992,0.56632,0.42561,0.88535,0.17764,0.76132,0.69586,0.61996,0.69968,0.23987,0.64604,0.76113,2
0.36744,0.23537,0.08630,0.88545,0.77959,0.17323,0.26534,0.74865,0.00020,0.64696,0.61983,0.00038,0.42023,0.34508,0.31966,0.69919,0.55823,0.52236,0.83206,0.88556,0
0.02221,0.18186,0.60658,0.62824,0.38129,0.85066,0.04472,0.54971,0.36334,0.39407,0.35867,0.88560,0.14675,0.81499,0.61172,0.69014,0.49138,0.00083,0.57164,0.49657,1
0.06603,0.00005,0.18880,0.65529,0.52243,0.37679,0.13332,0.58461,0.00086,0.82386,0.47812,0.07115,0.24394,0.68116,0.51394,0.88575,0.80145,0.31091,0.56212,0.70837,1
0.84148,0.88549,0.70657,0.00978,0.00073,0.52710,0.79698,0.05327,0.88583,0.46004,0.26109,0.32746,0.56256,0.72633,0.44227,0.40795,0.61559,0.41622,0.00018,0.01834,1
0.30540,0.15941,0.08826,0.84582,0.80515,0.17781,0.29220,0.69900,0.00069,0.64686,0.57168,0.00023,0.35002,0.35467,0.31486,0.69051,0.57544,0.54926,0.80508,0.88593,0
0.57194,0.61546,0.39212,0.43834,0.00088,0.43879,0.25766,0.19051,0.34532,0.66823,0.19540,0.00014,0.35835,0.87600,0.65011,0.74395,0.73942,0.00970,0.24835,0.38161,2
0.15596,0.17764,0.59344,0.22680,0.00051,0.88573,0.25757,0.34585,0.30191,0.33613,0.35081,0.88540,0.40302,0.88566,0.68152,0.51300,0.45160,0.00983,0.10611,0.23931,2
0.01347,0.00004,0.33865,0.50939,0.53137,0.67702,0.02736,0.51865,0.00068,0.77938,0.39492,0.50431,0.19054,0.85079,0.86766,0.84102,0.80142,0.28311,0.39875,0.75278,1
0.56637,0.48272,0.62236,0.37212,0.53136,0.52778,0.88580,0.70895,0.71707,0.00098,0.84133,0.38972,0.80509,0.66434,0.42563,0.00038,0.16809,0.79699,0.51358,0.24840,2
0.54060,0.33291,0.25994,0.60624,0.55821,0.51853,0.41647,0.60230,0.00013,0.18658,0.74345,0.15034,0.52240,0.88586,0.44292,0.31912,0.35497,0.84128,0.72104,0.32756,1
0.55874,0.39457,0.32724,0.36758,0.14277,0.65506,0.32740,0.51354,0.00095,0.15018,0.59769,0.42584,0.57510,0.88512,0.58095,0.27455,0.29656,0.31099,0.34525,0.18667,1
0.40768,0.26162,0.27407,0.65947,0.68112,0.54908,0.29251,0.69578,0.00098,0.31459,0.64666,0.21241,0.44224,0.88532,0.44297,0.46086,0.44241,0.58418,0.78343,0.43406,1
0.44233,0.34176,0.50050,0.19918,0.36382,0.31969,0.88555,0.62461,0.68102,0.34132,0.77457,0.08095,0.78385,0.55809,0.57173,0.00094,0.51395,0.66490,0.36396,0.03558,2
0.22677,0.10651,0.07779,0.81041,0.70848,0.15525,0.23912,0.62489,0.00027,0.65089,0.50999,0.00007,0.30143,0.31069,0.32761,0.66473,0.55315,0.47844,0.72122,0.88500,0
0.04061,0.00098,0.29043,0.60618,0.49638,0.58012,0.08073,0.69000,0.00009,0.76501,0.59791,0.31028,0.27458,0.85001,0.81074,0.87627,0.77065,0.31088,0.51316,0.68185,1
0.14244,0.00478,0.23264,0.66401,0.63771,0.46575,0.27461,0.59341,0.00005,0.27988,0.54445,0.04427,0.27435,0.88592,0.58074,0.55878,0.41270,0.54035,0.76149,0.44254,1
0.29284,0.15013,0.11993,0.88569,0.79655,0.23924,0.28382,0.72650,0.00052,0.62812,0.60201,0.00063,0.36783,0.47859,0.31039,0.73510,0.56229,0.54949,0.84195,0.88517,0
0.06241,0.00087,0.21089,0.69932,0.52242,0.42019,0.12499,0.53512,0.00022,0.83617,0.42562,0.04471,0.22694,0.79633,0.60290,0.88537,0.82729,0.30126,0.60276,0.71795,1
0.44202,0.45650,0.19210,0.47345,0.30158,0.35894,0.00077,0.22662,0.02766,0.74872,0.11176,0.00067,0.23034,0.71792,0.50954,0.81494,0.78347,0.07167,0.35480,0.54045,0
0.49669,0.44209,0.14482,0.09771,0.00069,0.28847,0.10636,0.03177,0.00044,0.57579,0.12899,0.06264,0.29204,0.51325,0.39438,0.62835,0.70433,0.19540,0.00005,0.19506,0
0.50497,0.60279,0.66899,0.32311,0.00048,0.55899,0.58412,0.44226,0.77975,0.15520,0.57121,0.23074,0.67398,0.88560,0.45628,0.31006,0.33282,0.25761,0.31009,0.02776,0
0.87648,0.88589,0.77917,0.04413,0.00074,0.67362,0.86751,0.08869,0.88530,0.60239,0.30536,0.46063,0.60630,0.88588,0.65553,0.39892,0.69572,0.43487,0.00052,0.08861,1
0.13711,0.08433,0.51514,0.30146,0.00015,0.86310,0.27476,0.44244,0.16842,0.34521,0.50956,0.84111,0.38946,0.88544,0.70426,0.45191,0.47397,0.13302,0.21257,0.17752,2
0.88529,0.88141,0.73707,0.00056,0.39885,0.59720,0.88557,0.24897,0.87618,0.23987,0.43824,0.33669,0.68642,0.85824,0.52238,0.14257,0.43873,0.77930,0.19946,0.00051,1
0.12831,0.07154,0.22142,0.64273,0.48728,0.44283,0.11583,0.47864,0.00071,0.58460,0.38547,0.00027,0.18693,0.88556,0.50968,0.66456,0.62442,0.30158,0.58431,0.60222,2
0.29685,0.16440,0.39420,0.60685,0.35400,0.78846,0.26566,0.54424,0.00055,0.21291,0.62878,0.69093,0.38169,0.88565,0.62431,0.42506,0.32302,0.52223,0.61930,0.32778,1
0.18193,0.13344,0.54958,0.28344,0.00030,0.88546,0.31002,0.43412,0.21212,0.35415,0.48789,0.88597,0.45667,0.88535,0.66850,0.56607,0.49122,0.10692,0.15969,0.24860,2
0.72659,0.86399,0.76806,0.28378,0.00037,0.69524,0.56686,0.00043,0.84174,0.40374,0.14218,0.60263,0.49171,0.78846,0.46952,0.55838,0.56617,0.28349,0.15960,0.24831,2
0.53166,0.57509,0.36558,0.54943,0.04431,0.41282,0.23040,0.24830,0.31908,0.84106,0.22633,0.00096,0.23548,0.82325,0.69067,0.79648,0.88586,0.00005,0.36356,0.41611,2
0.07505,0.00058,0.35644,0.57562,0.54909,0.71254,0.15076,0.71265,0.00075,0.48715,0.67301,0.79693,0.35874,0.62866,0.75789,0.75255,0.55389,0.46982,0.62898,0.44261,2
0.27931,0.24336,0.48230,0.27466,0.00065,0.77989,0.25746,0.44230,0.18613,0.25786,0.47829,0.67322,0.54964,0.88567,0.60636,0.44269,0.37260,0.07177,0.18194,0.18608,2
0.50457,0.44283,0.29272,0.27098,0.08811,0.58484,0.12463,0.04482,0.00060,0.69960,0.07508,0.49626,0.28870,0.67386,0.66804,0.59364,0.84519,0.15009,0.16825,0.29239,0
0.46543,0.34578,0.29441,0.59319,0.41658,0.58849,0.23916,0.64678,0.00010,0.21257,0.67398,0.29284,0.51823,0.88590,0.47869,0.42553,0.33269,0.46945,0.65055,0.30106,1
0.40704,0.26520,0.24845,0.61546,0.49691,0.49612,0.28365,0.54999,0.00033,0.24397,0.60228,0.10624,0.39896,0.88538,0.44274,0.38953,0.38162,0.60207,0.69074,0.34521,1
0.24896,0.20829,0.42756,0.32775,0.00066,0.56213,0.37280,0.44264,0.29240,0.17729,0.54036,0.23935,0.46067,0.88501,0.47863,0.35464,0.31010,0.19567,0.28854,0.08003,2
0.00024,0.07575,0.34503,0.71245,0.34563,0.54072,0.00077,0.51835,0.15028,0.69086,0.39477,0.34555,0.15931,0.73535,0.64631,0.69081,0.78887,0.09792,0.61536,0.54020,1
0.04038,0.00040,0.29229,0.55884,0.50468,0.58484,0.08053,0.64696,0.00035,0.87682,0.56602,0.36394,0.29269,0.80502,0.84565,0.87640,0.88165,0.34524,0.42950,0.76104,1
0.44267,0.30190,0.50789,0.51831,0.51363,0.41253,0.88521,0.61503,0.60207,0.15011,0.79637,0.13335,0.59369,0.69029,0.37234,0.00019,0.29634,0.87673,0.69926,0.15026,0
0.88543,0.86398,0.69931,0.07587,0.03582,0.55871,0.88577,0.07169,0.84197,0.45611,0.33602,0.28353,0.62842,0.83239,0.41609,0.41620,0.50032,0.56645,0.09368,0.00097,1
0.33660,0.24388,0.14802,0.70407,0.55821,0.29635,0.18603,0.57567,0.00046,0.88551,0.48218,0.00041,0.37298,0.59385,0.53102,0.88577,0.80512,0.37220,0.61159,0.74367,0
0.26194,0.42022,0.49611,0.36749,0.00015,0.34502,0.32793,0.44239,0.64634,0.77484,0.47386,0.00032,0.31929,0.69068,0.52294,0.69038,0.87286,0.06235,0.19568,0.34532,2
0.61930,0.60688,0.37849,0.39467,0.00094,0.42934,0.35459,0.12465,0.32712,0.64217,0.27480,0.00059,0.42577,0.85852,0.61126,0.68188,0.74399,0.30151,0.22681,0.33646,2
0.58433,0.59739,0.35694,0.47894,0.00048,0.40376,0.28309,0.16840,0.31012,0.77952,0.18109,0.00073,0.35844,0.80536,0.58063,0.80582,0.81993,0.02749,0.27437,0.40723,2
0.19520,0.27065,0.66836,0.21741,0.00015,0.88575,0.30133,0.34190,0.45150,0.41678,0.34173,0.88571,0.46973,0.88544,0.73547,0.61191,0.55351,0.00093,0.06295,0.31037,2
0.38149,0.26174,0.26382,0.56258,0.38172,0.52726,0.23955,0.63361,0.00019,0.23592,0.68669,0.16857,0.47304,0.88515,0.44296,0.38104,0.35845,0.48751,0.60202,0.30172,1
0.58463,0.59713,0.38920,0.48760,0.08857,0.44284,0.31012,0.24838,0.33667,0.83299,0.20410,0.00006,0.24350,0.88599,0.76590,0.77921,0.88578,0.00091,0.31020,0.44265,2
0.21255,0.27026,0.55175,0.30543,0.00027,0.61594,0.37298,0.44236,0.48708,0.23033,0.51314,0.34558,0.49600,0.88586,0.54491,0.46028,0.36313,0.14263,0.21295,0.18683,2
0.19924,0.05853,0.34303,0.63384,0.68105,0.68613,0.28351,0.71205,0.00038,0.20894,0.65587,0.48712,0.35430,0.88526,0.47357,0.41669,0.34522,0.56676,0.78384,0.38198,1
0.47831,0.42905,0.27750,0.46501,0.21271,0.55332,0.09763,0.10657,0.00078,0.88589,0.00004,0.43476,0.23902,0.67328,0.54475,0.88566,0.85461,0.00013,0.31998,0.50467,0
0.16443,0.10266,0.51187,0.47316,0.00027,0.81919,0.32724,0.42038,0.20459,0.35844,0.55367,0.75225,0.36765,0.88561,0.69064,0.34598,0.50455,0.26582,0.44289,0.06285,2
0.38113,0.27901,0.30504,0.40314,0.25758,0.61197,0.20478,0.57158,0.00072,0.24384,0.64688,0.33623,0.45191,0.88523,0.53197,0.48763,0.34111,0.40749,0.39421,0.27415,1
0.18616,0.07518,0.31259,0.35023,0.03576,0.62460,0.22172,0.46024,0.00081,0.25230,0.54904,0.36311,0.35475,0.88538,0.46914,0.50448,0.39452,0.21253,0.25762,0.22124,2
0.85062,0.88525,0.68642,0.01856,0.32755,0.48731,0.81482,0.16424,0.88591,0.29261,0.32700,0.15992,0.61598,0.81454,0.45618,0.20496,0.43849,0.65547,0.18121,0.00028,1
0.45131,0.31418,0.17779,0.47830,0.64643,0.35418,0.27426,0.76566,0.00012,0.85014,0.71715,0.15983,0.54046,0.54983,0.70842,0.88563,0.73545,0.54958,0.38982,0.82347,2
0.00979,0.00083,0.22676,0.52761,0.68148,0.45174,0.01862,0.75748,0.00085,0.72109,0.62853,0.05343,0.39401,0.85023,0.52734,0.55863,0.67369,0.42545,0.42580,0.88543,2
0.48713,0.53514,0.42956,0.53572,0.23001,0.41609,0.34588,0.31414,0.44286,0.88596,0.19926,0.00001,0.27011,0.83263,0.63301,0.88589,0.88124,0.00075,0.35437,0.59347,2
0.44786,0.44247,0.31975,0.14210,0.08842,0.63749,0.00917,0.17369,0.00069,0.51387,0.15934,0.38996,0.28821,0.88582,0.73038,0.54971,0.68138,0.06281,0.04488,0.28399,0
0.18694,0.22104,0.46736,0.40363,0.00076,0.49141,0.37267,0.44221,0.44245,0.64256,0.55339,0.09718,0.43401,0.88536,0.73575,0.57525,0.77987,0.22127,0.26519,0.27467,2
0.38995,0.27450,0.13518,0.85836,0.68183,0.27028,0.23017,0.69044,0.00005,0.67359,0.58089,0.00003,0.40735,0.54086,0.41634,0.76145,0.60683,0.46070,0.75772,0.88564,0
0.44779,0.44262,0.18867,0.33678,0.27495,0.37630,0.00966,0.20466,0.00024,0.60271,0.09388,0.00080,0.25716,0.75297,0.47332,0.73523,0.67734,0.05364,0.23011,0.48772,0
0.46598,0.44247,0.21799,0.40743,0.13372,0.43452,0.04457,0.06633,0.00059,0.78823,0.00443,0.27430,0.23909,0.59391,0.47372,0.85804,0.80183,0.00928,0.23931,0.46938,0
0.16838,0.10241,0.22198,0.70414,0.42520,0.44280,0.13360,0.57540,0.00031,0.77409,0.50031,0.00012,0.35077,0.88508,0.76549,0.70879,0.85014,0.27402,0.63389,0.56601,0
0.44263,0.32369,0.57314,0.44280,0.31973,0.50023,0.88561,0.54407,0.64663,0.09726,0.73093,0.26536,0.61567,0.73500,0.40324,0.02758,0.27481,0.69058,0.60203,0.00036,0
0.02266,0.00020,0.23012,0.58082,0.38187,0.46079,0.04489,0.63383,0.00044,0.77906,0.54012,0.17738,0.26198,0.74373,0.63782,0.73525,0.85464,0.19594,0.51328,0.51351,1
0.51328,0.38937,0.19257,0.57540,0.43470,0.38557,0.24844,0.65950,0.00097,0.39428,0.69956,0.00031,0.49615,0.77025,0.54928,0.61925,0.52725,0.51397,0.60642,0.37227,1
0.08834,0.00076,0.28817,0.62485,0.53182,0.57574,0.17729,0.41296,0.00046,0.88530,0.32378,0.59356,0.13744,0.55803,0.62494,0.88559,0.81008,0.35411,0.53540,0.70852,0
0.44288,0.54962,0.45873,0.54903,0.19588,0.46530,0.23941,0.09759,0.45191,0.68101,0.00050,0.37281,0.11935,0.55897,0.72199,0.88524,0.61528,0.00014,0.37299,0.54903,2
0.20432,0.12490,0.35085,0.27072,0.00005,0.64653,0.21272,0.44215,0.05360,0.22616,0.47382,0.40722,0.40352,0.88524,0.48277,0.45155,0.34563,0.06297,0.16450,0.21296,2
0.49656,0.35842,0.02026,0.83283,0.83268,0.04018,0.27494,0.73949,0.00043,0.62817,0.60236,0.00092,0.46084,0.08045,0.22603,0.61118,0.49189,0.55841,0.80573,0.88559,0
0.38934,0.23562,0.33656,0.56653,0.29208,0.67389,0.31001,0.58468,0.00086,0.14627,0.72648,0.46048,0.47823,0.88528,0.55319,0.29268,0.29630,0.57558,0.58850,0.24838,1
0.42538,0.29282,0.40963,0.53577,0.66402,0.23596,0.85079,0.60678,0.58460,0.31942,0.71745,0.15026,0.54046,0.31962,0.32335,0.00025,0.33638,0.88523,0.73998,0.25755,0
0.88574,0.85488,0.64665,0.00004,0.26510,0.46980,0.88555,0.22120,0.82306,0.28825,0.39878,0.15925,0.64261,0.77931,0.39878,0.22159,0.41622,0.61966,0.13367,0.00056,1
0.52205,0.53591,0.28352,0.09791,0.00026,0.38193,0.15963,0.05870,0.18663,0.56607,0.14612,0.20400,0.32707,0.55871,0.46528,0.57546,0.72142,0.17763,0.00036,0.19529,0
0.88512,0.87242,0.60275,0.00457,0.30113,0.34533,0.88556,0.15038,0.85831,0.39897,0.30579,0.06270,0.58842,0.62830,0.48217,0.17745,0.52705,0.61117,0.15549,0.00005,1
0.52273,0.49195,0.56058,0.44209,0.26593,0.29625,0.88505,0.57137,0.82347,0.11964,0.76128,0.10693,0.72120,0.48700,0.24321,0.05376,0.29696,0.64644,0.57582,0.00030,0
0.15010,0.21713,0.44908,0.43486,0.00049,0.46520,0.30157,0.44298,0.43481,0.77483,0.50088,0.04485,0.38501,0.88589,0.67374,0.69980,0.86707,0.11549,0.26599,0.33636,2
0.33263,0.22689,0.37673,0.74304,0.66410,0.75279,0.21207,0.74828,0.00002,0.37276,0.65562,0.78877,0.47868,0.71796,0.57562,0.74369,0.44221,0.47866,0.77429,0.60260,2
0.45189,0.47308,0.19921,0.14663,0.01849,0.33623,0.01869,0.11949,0.06253,0.44275,0.11181,0.06295,0.28347,0.61122,0.38163,0.61918,0.57595,0.00069,0.00914,0.29284,0
0.54471,0.51397,0.31225,0.19500,0.00024,0.48233,0.20454,0.00024,0.14242,0.68141,0.08060,0.35401,0.31965,0.61193,0.57514,0.60211,0.82312,0.15964,0.08052,0.23091,0
0.07145,0.00026,0.42065,0.36730,0.41672,0.84138,0.14212,0.25287,0.00006,0.57162,0.18607,0.79661,0.07180,0.88561,0.88549,0.69909,0.63763,0.28322,0.29601,0.55887,0
0.44721,0.31458,0.27035,0.58413,0.31957,0.54097,0.26599,0.52229,0.00075,0.14628,0.64227,0.19591,0.47369,0.88521,0.44772,0.29217,0.29271,0.55884,0.60255,0.28385,1
0.48202,0.48773,0.28899,0.37619,0.00021,0.48731,0.08052,0.00071,0.08854,0.68153,0.04461,0.36316,0.26152,0.61126,0.64224,0.71763,0.76500,0.08850,0.20486,0.34522,0
0.49136,0.34113,0.25938,0.38157,0.49662,0.51845,0.30161,0.45176,0.00010,0.77909,0.39853,0.61109,0.50913,0.42588,0.65525,0.88556,0.66432,0.38987,0.24808,0.76171,2
0.00036,0.04975,0.41608,0.76587,0.43472,0.73588,0.00024,0.65957,0.09722,0.59324,0.51399,0.76188,0.26591,0.70897,0.47808,0.88559,0.47381,0.14220,0.61938,0.72689,2
0.47350,0.26134,0.35282,0.66454,0.54933,0.70469,0.42507,0.55343,0.00064,0.19540,0.72118,0.59384,0.48747,0.81464,0.54934,0.38903,0.38528,0.88538,0.71764,0.44217,1
0.11146,0.00075,0.19931,0.75231,0.66413,0.39872,0.22120,0.50945,0.00089,0.86333,0.39825,0.29260,0.16827,0.50461,0.47382,0.86707,0.76137,0.44278,0.64294,0.88599,0
0.25775,0.11515,0.29220,0.65931,0.70889,0.58462,0.28329,0.66437,0.00089,0.29690,0.58408,0.28399,0.34149,0.88585,0.44267,0.45187,0.42083,0.54936,0.79683,0.43409,1
